objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648704577601583,184.658795469677,0.159935506727761,18.63032,17.23437,16.72749,16.51772,16.44039,752,301,4,274,2880149887696005120,STAR,4.313261E-06,2558,54140,356
1237648704577601580,184.654170271373,0.122673445871218,19.07731,18.64518,18.49678,18.52677,18.45765,752,301,4,274,324374930323957760,QSO,0.9251733,288,52000,421
1237648704577601553,184.56941092437,0.137091485331373,17.51339,16.41793,16.06695,15.93751,15.89478,752,301,4,274,324377404225120256,STAR,-3.548175E-05,288,52000,430
1237648704577470535,184.350646587722,0.207229522687783,18.73832,18.60962,18.39696,18.31174,17.97663,752,301,4,272,323294660535543808,QSO,0.2719369,287,52023,587
1237648704577405071,184.189573804239,0.0994824678579993,19.25667,17.54869,16.63578,16.14922,15.76639,752,301,4,271,324366134230935552,GALAXY,0.07208736,288,52000,389
1237648704577404955,184.085331089266,0.112110022208472,18.83307,17.51785,16.94273,16.71418,16.60521,752,301,4,271,3722375532814376960,STAR,0.0006227744,3306,54922,547
1237648704577339553,183.979194460504,0.135997822421441,19.29772,17.80227,17.18266,16.92335,16.79928,752,301,4,270,3722364262820192256,STAR,-3.457434E-05,3306,54922,506
1237648704577339546,183.973497678925,0.0816255816114345,18.67249,17.71375,17.49362,17.28284,17.22644,752,301,4,270,324369157887911936,GALAXY,0.04050813,288,52000,400
1237648704577339400,183.92458850092,0.0972457823377776,17.90616,16.97172,16.67541,16.53776,16.47596,752,301,4,270,363829249360029696,STAR,8.911928E-05,323,51615,595
1237648704577273970,183.847173555454,0.173694164045785,19.43133,18.46779,18.16451,18.01475,18.04155,752,301,4,269,364954875244603392,STAR,0.0003146027,324,51666,594
1237648704577142822,183.531325694133,0.0896930301317096,19.47406,17.0424,15.94699,15.50342,15.22531,752,301,4,267,3722360139651588096,STAR,-8.955967E-06,3306,54922,491
1237648704577732678,184.832199654394,0.0443065474951896,19.52092,17.58562,16.4269,15.94473,15.56269,752,301,4,276,324390873242560512,GALAXY,0.1506381,288,52000,479
1237648704577732659,184.956985534292,0.156360266610548,18.15079,16.77761,16.2215,16.02345,15.91957,752,301,4,276,2880158134033213440,STAR,0.0003043607,2558,54140,386
1237648704577667370,184.765155339711,0.0809857944756924,19.18013,18.07133,17.71771,17.48797,17.55667,752,301,4,275,324388674219304960,GALAXY,0.06807999,288,52000,471
1237648704577601603,184.516834223026,0.145549585698252,19.21684,18.29956,18.19589,18.14758,18.26658,752,301,4,274,3722388726953910272,STAR,8.799958E-05,3306,54922,595
1237648704577536223,184.466853071054,0.111965321115041,19.3932,18.48274,18.16551,18.05122,18.04328,752,301,4,273,364962846703904768,STAR,-0.0002702182,324,51666,623
1237648704577536186,184.38091910014,0.174322769799921,17.81661,16.86976,16.53884,16.19576,16.08668,752,301,4,273,323307030041356288,GALAXY,0.07277206,287,52023,632
1237648704577470556,184.221797167381,0.0469551812994854,19.05958,18.09512,17.92766,17.8927,17.90772,752,301,4,272,364801218494621696,STAR,0.0002099738,324,51666,35
1237648704577405051,184.160510151936,0.0756453127968689,19.5799,17.72815,16.9874,16.68076,16.50426,752,301,4,271,3722375257936470016,STAR,8.29558E-06,3306,54922,546
1237648704577274016,183.900081418135,0.187473296678452,18.97993,17.84496,17.38022,17.20673,17.07071,752,301,4,269,3722366736721354752,STAR,0.0003148482,3306,54922,515
1237648704577273992,183.864379023055,0.0192007114116613,19.38322,17.88995,17.10537,16.66393,16.36955,752,301,4,269,323286963954149376,GALAXY,0.1002423,287,52023,559
1237648704577208477,183.680207441114,0.126185092322292,19.38298,18.19169,17.47428,17.08732,16.80125,752,301,4,268,323274319570429952,GALAXY,0.1231112,287,52023,513
1237648704577142859,183.598370535872,0.135285032246653,18.6628,17.21449,16.67637,16.48922,16.3915,752,301,4,267,363814405953054720,STAR,-5.491128E-05,323,51615,541
1237648704578846738,187.366579443213,0.0237103641787041,16.31039,14.86417,14.30086,14.09949,14.01226,752,301,4,293,2880226578632042496,STAR,7.823537E-05,2558,54140,635
1237648704578781340,187.356614347967,0.130543526258087,19.25702,17.81028,16.90624,16.4854,16.14583,752,301,4,292,325537388824651776,GALAXY,0.1533793,289,51990,554
1237648704578715707,187.148953799005,0.0577055818926092,17.81092,16.27263,15.68785,15.49495,15.38605,752,301,4,291,2880222730341345280,STAR,-0.0001763461,2558,54140,621
1237648704578650164,187.035220137263,0.0248273212198418,18.74619,16.85326,16.16337,15.93568,15.7915,752,301,4,290,2880214758882043904,STAR,1.248581E-05,2558,54140,592
1237648704578650144,186.965110082612,0.0602530502323018,18.54735,17.00517,16.42322,16.20645,16.10244,752,301,4,290,2880216133271578624,STAR,-0.00019043,2558,54140,597
1237648704578584666,186.813296787279,0.031704698655944,18.55765,16.35182,15.45455,15.0802,14.85069,752,301,4,289,2880204038643673088,STAR,8.090575E-05,2558,54140,553
